path,size
./project_compare.py,9372
./.git/hooks/pre-rebase.sample,4951
./.git/hooks/update.sample,3611
./csv.py,3075
./csv.pyc,2882
./project_file.py,2860
./project_file_analysis_result.csv,2792
./.git/objects/1c/782f63952c12a1a9423a978175e783d6099a76,2690
./.git/objects/00/6b186d1aa84ab4a128884c5de7a4089c29fa32,2687
./.git/objects/e5/a065689e55e171ef717b91d305be793eadbee3,2655
./.git/objects/ac/e93ddfdffc135ed09884ddf4adeb708f9b3f2a,2580
./.git/hooks/pre-commit.sample,1704
./.git/hooks/prepare-commit-msg.sample,1239
./.git/objects/20/a553adfcfb34040cbc706d67952c482d7b67cf,1042
./test.py,1041
./.git/objects/9e/dd7ce81179d6201807b3257169eb2b7d64cc53,1015
./.git/objects/c1/0cbe243b2a01185661b0b8009395dd949360dc,914
./.git/hooks/commit-msg.sample,896
./project_file_config.xml,666
./.git/index,584
./.git/objects/f8/cfa466145b6f4952292ba44d354197f4979818,581
./.git/objects/95/8ee3bc9cc0ca68313bdc26777f2deb3b6e7353,479
./.git/hooks/applypatch-msg.sample,452
./.git/hooks/pre-applypatch.sample,398
./compare.xml,352
./.git/config,309
./.git/objects/a4/3c6fe4147fda91885777d3d5136a80178cbc46,244
./.git/info/exclude,240
./.git/objects/91/809cb52f76dc177d16eed3d90a6aaaf0b53cd1,239
./.git/logs/HEAD,197
./.git/logs/refs/heads/master,197
./.git/logs/refs/remotes/origin/HEAD,197
./.git/hooks/post-update.sample,189
./.git/objects/7f/130c02b38db2a8b515d304cb33d06343fceae4,186
./.git/objects/8b/22a768528e4a665bc9cd92deeed9ee309c6d71,186
./.git/objects/7c/3d89bdd54c79766216dbe565d06acd7cb83bcf,183
./.git/objects/e2/832d111f5f00f842f97d3c8efddca9e1ce371b,183
./.git/objects/7e/1808b0c03a3f082940f5965ad3771cd8780fe5,175
./.git/objects/e1/31ef289e24865e9d0a91b15a107e91b23952f3,175
./.git/objects/be/356c342555bdd990100721c529d93ccb187f34,172
./.git/objects/7a/4a5c05d0189a6a98fdb097445f272eda92eac2,165
./.git/objects/f8/73334d0cc34f8e242a574e2e9a6fd8dc66493e,163
./.git/objects/4b/dcae7588c7f3feb51210416775aae131e8913d,161
./.git/objects/3d/42d1698922f378e1b3f600da09afb71a755af5,160
./.git/objects/e4/1e56de593c64a785005abcee84c6ff5d7987d5,156
./.git/objects/41/edc4595d7fc0cf62edab6033cf9cd14e3229fc,154
./.git/objects/7c/05c95cff077c02b2875d246db4585b6e6c8234,154
./.git/objects/ad/358be7a6f227e24cb73cf9f2520404588b0ff1,133
./.git/packed-refs,94
./.git/objects/0b/7567a1b0b777960cd242cc0211dd963a6296a3,89
./.git/objects/6e/952c04f6fbc501674cc161a42e27756ec96546,89
./.git/objects/6e/666d5acfd6989cd6622b6a194a84c473dab8b8,85
./.git/objects/ee/8545b0371b3dc079d27ebc90c8c3938a1d6caf,85
./.git/objects/f2/3a699b184aec6a742fc807e6d0700fc92f9c56,85
./.git/description,73
./.git/objects/45/e28c98564b859d73af8772d621ceba73d06c79,62
./.git/objects/fe/516af855571d4692f84a469777886d5ff29ae6,54
./README.md,51
./.git/refs/heads/master,41
./.git/refs/remotes/origin/HEAD,32
./.git/HEAD,23
